Symbol	Description
MUI.AX	MUI
MUM.AX	Mount Magnet South NL
MUMOA.AX	Mount Magnet South Nl
MUS.AX	Mustang Group
MUSO.AX	Mustang Resources Limited
MVA.AX	MVA
MVB.AX	MVB
MVE.AX	MVE
MVF.AX	Monash Ivf Group Limited
MVP.AX	Medical Developments International
MVR.AX	MVR
MVS.AX	MVS
MVT.AX	Mercantile Investment Company Ltd
MVW.AX	MVW
MWR.AX	MGM Wireless Ltd
MX1.AX	Micro-x Limited
MXC.AX	Mgc Pharmaceuticals Ltd
MXI.AX	MaxiTRA Industries Ltd
MXR.AX	Maximus Resources Ltd
MXUPA.AX	MXU
MYE.AX	Mastermyne Group Limited
MYO.AX	MYOB Ltd
MYOKOA.AX	Myob Group Limited
MYOKOB.AX	Myob Group Limited
MYOKOP.AX	Myob Group Limited
MYQ.AX	Myfiziq Limited
MYR.AX	Myer Holdings Limited
MYRKOB.AX	Myer Holdings Limited
MYRKOD.AX	Myer Holdings Limited
MYRKOP.AX	Myer Holdings Limited
MYRKOR.AX	Myer Holdings Limited
MYRKOS.AX	Myer Holdings Limited
MYRKOT.AX	Myer Holdings Limited
MYS.AX	Mystate Limited
MYT.AX	Mighty River Power Limited
MYX.AX	MYX
MZI.AX	Matilda Zircon Limited
MZM.AX	Montezuma Mining Company Ltd
MZN.AX	Marindi Metals Limited
MZNO.AX	Marindi Metals Limited
NAB.AX	National Australia Bank Ltd
NABHA.AX	NABHA
NABHB.AX	National Australia Bank Limited
NABKOA.AX	National Australia Bank Limited
NABKOD.AX	National Australia Bank Limited
NABKOG.AX	National Australia Bank Limited
NABKOH.AX	National Australia Bank Limited
NABKOI.AX	National Australia Bank Limited
NABKOJ.AX	National Australia Bank Limited
NABKOK.AX	National Australia Bank Limited
NABKOL.AX	National Australia Bank Limited
NABKOM.AX	National Australia Bank Limited
NABKOP.AX	National Australia Bank Limited
NABKOR.AX	National Australia Bank Limited
NABKOS.AX	National Australia Bank Limited
NABKOT.AX	National Australia Bank Limited
NABKOU.AX	National Australia Bank Limited
NABKOV.AX	National Australia Bank Limited
NABKOW.AX	National Australia Bank Limited
NABKOY.AX	National Australia Bank Limited
NABLOD.AX	National Australia Bank Limited
NABLOE.AX	National Australia Bank Limited
NABLOF.AX	National Australia Bank Limited
NABLOG.AX	National Australia Bank Limited
NABLOH.AX	National Australia Bank Limited
NABLOI.AX	National Australia Bank Limited
NABLOP.AX	National Australia Bank Limited
NABLOQ.AX	National Australia Bank Limited
NABLOR.AX	National Australia Bank Limited
NABLOT.AX	National Australia Bank Limited
NABLOW.AX	National Australia Bank Limited
NABLOX.AX	National Australia Bank Limited
NABPA.AX	National Australia Bank Limited
NABPB.AX	National Australia Bank Limited
NABPC.AX	National Australia Bank Limited
NABQOF.AX	National Australia Bank Limited
NABQOP.AX	National Australia Bank Limited
NABQOW.AX	National Australia Bank Limited
NAC.AX	Naos Absolute Opportunities Company Limited
NACO.AX	Naos Absolute Opportunities Company Limited
NAE.AX	New Age Exploration Ltd
NAG.AX	
NAM.AX	Namoi Cotton Co-operative Ltd
NAN.AX	Nanosonics Ltd
NBL.AX	Noni B Ltd
NCC.AX	Naos Emerging Opportunities Company Limited
NCK.AX	Nick Scali Ltd
NCL.AX	Netccentric Limited
NCM.AX	Newcrest Mining Ltd
NCMKOA.AX	Newcrest Mining Limited
NCMKOB.AX	Newcrest Mining Limited
NCMKOC.AX	Newcrest Mining Limited
NCMKOD.AX	Newcrest Mining Limited
NCMKOF.AX	Newcrest Mining Limited
NCMKOG.AX	Newcrest Mining Limited
NCMKOH.AX	Newcrest Mining Limited
NCMKOJ.AX	Newcrest Mining Limited
NCMKOK.AX	Newcrest Mining Limited
NCMKOQ.AX	Newcrest Mining Limited
NCMKOR.AX	Newcrest Mining Limited
NCMKOS.AX	Newcrest Mining Limited
NCMKOU.AX	Newcrest Mining Limited
NCMKOV.AX	Newcrest Mining Limited
NCMKOW.AX	Newcrest Mining Limited
NCMKOX.AX	Newcrest Mining Limited
NCMKOY.AX	Newcrest Mining Limited
NCMLOA.AX	Newcrest Mining Limited
NCMLOB.AX	Newcrest Mining Limited
NCMLOC.AX	Newcrest Mining Limited
NCMLOE.AX	Newcrest Mining Limited
NCMLON.AX	Newcrest Mining Limited
NCMLOP.AX	Newcrest Mining Limited
NCMLOQ.AX	Newcrest Mining Limited
NCMLOS.AX	Newcrest Mining Limited
NCMLOT.AX	Newcrest Mining Limited
NCMLOX.AX	Newcrest Mining Limited
NCO.AX	NCO
NCOO.AX	Namibian Copper Nl
NCR.AX	Nucoal Resources Nl
NDO.AX	Nido Petroleum Ltd
NDQ.AX	NDQ
NDXKOE.AX	NDXKOE
NDXKOP.AX	Nasdaq 100 E-mini
NDXKOQ.AX	Nasdaq 100 E-mini
NDXKOR.AX	Nasdaq 100 E-mini
NDXKOU.AX	Nasdaq 100 E-mini
NEA.AX	Nearmap Ltd
NEC.AX	Nine Entertainment Co Holdings Ltd
NECKOA.AX	Nine Entertainment Co. Holdings Limited
NECKOD.AX	Nine Entertainment Co. Holdings Limited
NECKOP.AX	Nine Entertainment Co. Holdings Limited
NECKOQ.AX	Nine Entertainment Co. Holdings Limited
NECKOS.AX	Nine Entertainment Co. Holdings Limited
NEN.AX	Neon Energy Limited
NEU.AX	Neuren Pharmaceuticals Ltd
NFE.AX	Northern Iron Ltd
NFNG.AX	NFNG
NGE.AX	New Guinea Energy Ltd
NGY.AX	Nuenergy Capital Ltd
NHC.AX	New Hope Corporation Ltd
NHF.AX	Nib Holdings Ltd
NHH.AX	Newhaven Hotels Ltd
NHO.AX	New Horizon Minerals Ltd
NI2KOA.AX	NI2KOA
NI2KOB.AX	NI2KOB
NI2KOF.AX	NI2KOF
NI2KOP.AX	NI2KOP
NI2KOQ.AX	NI2KOQ
NI2KOS.AX	NI2KOS
NI2KOU.AX	NI2KOU
NI2KOW.AX	NI2KOW
NIO.AX	Nicklelore Ltd
NIU.AX	Niuminco Group Limited
NKP.AX	Nkwe Platinum Ltd
NKPO.AX	Nkwe Platinum Limited
NME.AX	Nex Metals Exploration Ltd
NMI.AX	Northern Mining Ltd
NML.AX	Navarre Minerals Limited
NMS.AX	Neptune Marine Services Ltd
NMT.AX	Neometals Ltd
NNW.AX	99 Wuxian Limited
NOE.AX	Novarise Renewable Resources International Limited
NOR.AX	Norwood Systems Limited
NOV.AX	Novatti Group Limited
NPX.AX	Nuplex Industries Ltd
NRT.AX	Novogen Ltd
NRTO.AX	Novogen Limited
NSE.AX	New Standard Energy Ltd
NSL.AX	L Health Ltd
NSLO.AX	Nsl Consolidated Limited
NSP.AX	Nusep Ltd
NSR.AX	National Storage Reit
NST.AX	Northern Star Resources Ltd
NSTKOA.AX	Northern Star Resources Ltd
NSTKOC.AX	Northern Star Resources Ltd
NSTKOD.AX	Northern Star Resources Ltd
NSTKOQ.AX	Northern Star Resources Ltd
NSTKOR.AX	Northern Star Resources Ltd
NSTKOT.AX	Northern Star Resources Ltd
NSX.AX	X Ltd
NTC.AX	Netcomm Ltd
NTL.AX	New Talisman Gold Mines Limited
NTLO.AX	New Talisman Gold Mines Limited
NTM.AX	Northern Manganese Limited
NTU.AX	Northen Uranium Ltd
NUF.AX	NuFarm Ltd
NUFKOB.AX	Nufarm Limited
NUFKOC.AX	Nufarm Limited
NUFKOD.AX	Nufarm Limited
NUFKOP.AX	Nufarm Limited
NUFKOQ.AX	Nufarm Limited
NVI.AX	Nevada Iron Ltd
NVL.AX	National Veterinary Care Ltd
NVT.AX	Navitas Ltd
NVTKOA.AX	Navitas Limited
NVTKOB.AX	Navitas Limited
NVTKOP.AX	Navitas Limited
NVTKOS.AX	Navitas Limited
NWE.AX	Norwest Energy NL
NWF.AX	Newfield Resources Limited
NWH.AX	NRW Holdings Ltd
NWS.AX	News Corporation
NWSLV.AX	NEWS CORP-PREFD
NWZ.AX	Newzulu Limited
NXM.AX	Nexus Minerals Limited
NXR.AX	Nemex Resources Limited
NXT.AX	Nextdc Limited
NXTKOA.AX	Nextdc Limited
NYO.AX	Nyota Minerals Limited
NZO.AX	New Zealand Oil & Gas Ltd
OAR.AX	Oakdale Resources Limited
OBJ.AX	OBJ Ltd
OBL.AX	Oil Basins Ltd
OCC.AX	Orthocell Limited
OCL.AX	Objective Corporation Ltd
OCP.AX	Oceania Capital Partners Limited
ODN.AX	Odin Energy Ltd
ODY.AX	Odyssey Energy Ltd
OEC.AX	Orbital Corporation Ltd
OEG.AX	Orpheus Energy Limited
OEL.AX	Ottoman Energy Ltd
OEQ.AX	Orion Equities Ltd
OEX.AX	Oilex NL
OFW.AX	Oilfield Workforce Group Limited
OFX.AX	Ozforex Group Limited
OFXKOC.AX	Ozforex Group Limited
OFXKOD.AX	Ozforex Group Limited
OFXKOE.AX	Ozforex Group Limited
OFXKOQ.AX	Ozforex Group Limited
OFXKOR.AX	Ozforex Group Limited
OGC.AX	Oceanagold Corporation
OGH.AX	Ochre Group Holdings Limited
OGX.AX	Orinoco Gold Limited
OGXOB.AX	Orinoco Gold Limited
OGXOC.AX	Orinoco Gold Limited
OGY.AX	Orca Energy Limited
OHE.AX	Orion Health Group Limited
OIL.AX	Optiscan Imaging Ltd
OKJ.AX	Oakajee Corporation Ltd
OKU.AX	Oklo Uranium Ltd
OKUO.AX	Oklo Resources Limited
OLH.AX	Oldfields Holdings Ltd
OLV.AX	Otherlevels Holdings Limited
OMH.AX	OM Holdings Ltd
OML.AX	Ooh!media Limited
OMT.AX	Omni Market Tide Ltd
OMTO.AX	Omni Market Tide Ltd
ONT.AX	1300 Smiles Ltd
OOK.AX	Ookami Limited
OOO.AX	Betashares Crude Oil Index Etf-currency Hedged (synthetic)
OPG.AX	Opus Group Limited
OPT.AX	Opthea Limited
OPTO.AX	Opthea Limited
ORA.AX	Orora Limited
ORAKOA.AX	Orora Limited
ORAKOB.AX	Orora Limited
ORE.AX	Orocobre Ltd
ORG.AX	Origin Energy Ltd
ORGHA.AX	Origin Energy Limited
ORGKOC.AX	Origin Energy Limited
ORGKOD.AX	Origin Energy Limited
ORGKOF.AX	Origin Energy Limited
ORGKOP.AX	Origin Energy Limited
ORGKOT.AX	Origin Energy Limited
ORGKOV.AX	Origin Energy Limited
ORGQOZ.AX	Origin Energy Limited
ORH.AX	Orient Resource Holdings Ltd
ORI.AX	Orica Ltd
ORIKOC.AX	Orica Limited
ORIKOE.AX	Orica Limited
ORIKOH.AX	Orica Limited
ORIKOS.AX	Orica Limited
ORIKOT.AX	Orica Limited
ORIKOU.AX	Orica Limited
ORL.AX	OrotonGroup Ltd
ORM.AX	Orion Metals Limited
ORN.AX	ORN
ORR.AX	Orecorp Limited
ORS.AX	Octagonal Resources Limited
ORX.AX	Orrex Resources Ltd
OSH.AX	Oil Search Ltd (PNG)
OSHKOB.AX	Oil Search Limited
OSHKOE.AX	Oil Search Limited
OSHKOP.AX	Oil Search Limited
OSHKOQ.AX	Oil Search Limited
OSHQOB.AX	Oil Search Limited
OSL.AX	Oncosil Medical Ltd
OSP.AX	Osprey Medical Inc
OTC.AX	Otoc Limited
OTH.AX	Onthehouse Holdings Limited
OTI.AX	Oriental Technologies Investment Ltd
OTR.AX	Otter Gold Mines
OTW.AX	Over The Wire Holdings Limited
OVH.AX	Onevue Holdings Limited
OVL.AX	Oro Verde Limited
OVR.AX	Overland Resources Ltd
OXX.AX	Octanex N.l.
OXXCB.AX	Octanex N.l.
OZB.AX	Oz Brewing Ltd
OZF.AX	Spdr S&p/asx 200 Financials Ex A-reit Fund
OZG.AX	Ozgrowth Ltd
OZGOA.AX	Ozgrowth Limited
OZL.AX	OZ Minerals
OZLKOA.AX	Oz Minerals Limited
OZLKOD.AX	Oz Minerals Limited
OZLKOG.AX	Oz Minerals Limited
OZLKOQ.AX	Oz Minerals Limited
OZLKOS.AX	Oz Minerals Limited
OZLKOT.AX	Oz Minerals Limited
OZR.AX	Spdr S&p/asx 200 Resources Fund
PAA.AX	PharmAust Ltd
PAB.AX	Patrys Ltd
PAC.AX	Pacsoft Ltd
PAF.AX	Pm Capital Asian Opportunities Fund Limited
PAFO.AX	Pm Capital Asian Opportunities Fund Limited
PAI.AX	Platinum Asia Investments Limited
PAIO.AX	Platinum Asia Investments Limited
PAK.AX	Pacific American Coal Limited
PAKO.AX	Pacific American Coal Limited
PAN.AX	Panoramic Resources Ltd
PAR.AX	Paradigm Biopharmaceuticals Limited..
PAY.AX	Payce Consolidated Ltd
PBD.AX	Port Bouvard Ltd
PBG.AX	Pacific Brands Ltd
PBP.AX	Probiotec Ltd
PBT.AX	Prana Biotechnology Ltd
PCAPA.AX	PCA
PCL.AX	Pancontinental Oil & Gas NL
PCP.AX	Paramount Mining Corporation Ltd
PDI.AX	Predictive Discovery Limited
PDM.AX	Paradigm Gold Ltd
PDMO.AX	PDMO
PDN.AX	Paladin Resources Ltd
PDNKOA.AX	Paladin Energy Ltd
PDNKOJ.AX	Paladin Energy Ltd
PDNKOQ.AX	Paladin Energy Ltd
PDNKOR.AX	Paladin Energy Ltd
PDNKOS.AX	Paladin Energy Ltd
PDNKOZ.AX	Paladin Energy Ltd
PDY.AX	Padbury Mining Ltd
PDZ.AX	Prairie Downs Metals Ltd
PEA.AX	Pacific Energy Ltd
PEC.AX	Perpetual Resources Limited
PEG.AX	Pixie Group Limited
PEH.AX	Pacific Environment Ltd
PEK.AX	Peak Resources Ltd
PEL.AX	Pelican Resources Ltd
PELOA.AX	Pelican Resources Limited
PEN.AX	Peninsula Minerals Ltd
PENOD.AX	Peninsula Energy Limited
PEP.AX	Peplin Ltd
PEX.AX	Peel Exploration Ltd
PEZ.AX	Premiere Eastern Energy Limited
PFG.AX	Prime Financial Group Ltd
PFL.AX	Patties Foods Ltd
PFM.AX	Pacific Mining Ltd
PGC.AX	Paragon Care Ltd
PGF.AX	Pm Capital Global Opportunities Fund Limited
PGH.AX	Pact Group Holdings Ltd
PGI.AX	Panterra Gold Limited
PGIOA.AX	Panterra Gold Limited
PGL.AX	Progen Industries Ltd
PGM.AX	Platina Resources Ltd
PGO.AX	Primary Gold Limited
PGR.AX	The Pas Group Limited
PGS.AX	Planet Gas Ltd
PGY.AX	Pilot Energy Limited
PHA.AX	Public Holdings (Australia) Ltd
PHG.AX	Pulse Health Ltd
PHI.AX	Phileo Australia Ltd
PHK.AX	Phoslock Water Solutions Ltd
PIC.AX	Perpetual Equity Investment Company Limited
PICO.AX	Perpetual Equity Investment Company Limited
PIL.AX	Pilbara Mines NL.
PIO.AX	Pioneer Nickel Ltd
PIQ.AX	Proteomics International Laboratories Ltd
PIQO.AX	Proteomics International Laboratories Ltd
PKA.AX	Plukka Limited
PKO.AX	Peak Oil & Gas Limited
PLH.AX	Plymouth Minerals Limited
PLP.AX	Platypus Minerals Ltd
PLPO.AX	Platypus Minerals Ltd
PLS.AX	Pilbara Minerals Limited
PLV.AX	Pluton Resources Ltd
PLVOA.AX	Pluton Resources Limited
PMC.AX	Platinum Capital Ltd
PME.AX	Pro Medicus Ltd
PMGOLD.AX	PMGOLD
PML.AX	Parmelia Resources Limited
PMLOB.AX	Parmelia Resources Limited
PMP.AX	PMP Ltd
PMV.AX	Premier Investments Ltd
PMY.AX	Pacifico Minerals Limited
PNC.AX	Pioneer Credit Limited
PNL.AX	Paringa Resources Limited
PNN.AX	PeppinNini Minerals Ltd
PNO.AX	PharmaNet Group Ltd
PNR.AX	Pacific Niugini Minerals Ltd
PNRO.AX	Pacific Niugini Limited
PNV.AX	Polynovo Limited
PNW.AX	Pacific Star Network Ltd
PNX.AX	Phoenix Copper Ltd
POH.AX	Phosphagenics Ltd
POP.AX	Primary Opinion Limited
POS.AX	Poseidon Nickel Ltd
POU.AX	Betashares British Pound Etf
POW.AX	Protean Wave Energy Ltd
POZ.AX	Phosphate Auctralia Ltd
PPC.AX	Peet & Company Ltd
PPCG.AX	Peet Limited
PPG.AX	Pro-Pac Packaging Ltd
PPK.AX	Plaspak Group Ltd
PPL.AX	Park Plaza Kemayan
PPN.AX	Planet Platinum Ltd
PPP.AX	Pan Pacific Petroleum NL
PPS.AX	Praemium Ltd
PPT.AX	Perpetual Trustees Australia Ltd
PPTKOC.AX	Perpetual Limited
PPTKOF.AX	Perpetual Limited
PPTKOQ.AX	Perpetual Limited
PPTKOR.AX	Perpetual Limited
PPTKOS.AX	Perpetual Limited
PPTQOA.AX	Perpetual Limited
PPY.AX	Papyrus Australia Ltd
PRG.AX	Programmed Maintenance Services Ltd
PRL.AX	Petrel Energy Limited
PRO.AX	Prophecy International Holdings Ltd
PRP.AX	Prime Credit Property Trust
PRR.AX	Prima Biomed Ltd
PRRO.AX	PRRO
PRT.AX	Prime Television Ltd
PRU.AX	Perseus Mining Ltd
PRW.AX	Proto Resources & Investments Ltd
PRWOB.AX	Proto Resources & Investments Ltd
PRY.AX	Primary Healthcare Ltd
PRYKOA.AX	Primary Health Care Limited
PRYKOB.AX	Primary Health Care Limited
PRYKOC.AX	Primary Health Care Limited
PRYKOF.AX	Primary Health Care Limited
PRYKOP.AX	Primary Health Care Limited
PRYKOR.AX	Primary Health Care Limited
PRYKOT.AX	Primary Health Care Limited
PRYKOU.AX	Primary Health Care Limited
PSA.AX	Petsec Energy Ltd
PSC.AX	Prospect Resources Limited
PSF.AX	Pacific Ore Ltd
PSI.AX	Pacific Strategic Investments Ltd
PSM.AX	Peninsula Mines Limited
PSP.AX	Prosperity Resources Ltd
PSQ.AX	Pacific Smiles Group Limited
PSY.AX	PSY
PSZ.AX	Ps&c Limited
PTB.AX	PTB Group Ltd
PTL.AX	Pental Limited
PTM.AX	Platinum Asset Management Ltd
PTMKOA.AX	Platinum Asset Management Limited
PTMKOB.AX	Platinum Asset Management Limited
PTMKOS.AX	Platinum Asset Management Limited
PTR.AX	Petratherm Ltd
PTX.AX	Prescient Therapeutics Limited
PUN.AX	Pegasus Metals Ltd
PVA.AX	Psivia Corp
PVD.AX	Pura Vida Energy Nl
PVE.AX	Po Valley Energy Ltd
PWH.AX	Pwr Holdings Limited
PWN.AX	Potash West Nl
PWNCA.AX	Potash West Nl
PWNOA.AX	Potash West Nl
PWW.AX	Power Resources Ltd
PXS.AX	Pharmaxis Ltd
PXUPA.AX	PXU
PYC.AX	Phylogica Ltd
PYCOA.AX	Phylogica Limited
PYM.AX	Pryme Oil & Gas Ltd
PYMO.AX	Pryme Energy Limited
PZC.AX	Pan Asia Corporation Limited
QAG.AX	Betashares Agriculture Etf-currency Hedged (synthetic)
QAN.AX	Qantas Airways Ltd
QANKOA.AX	Qantas Airways Limited
QANKOB.AX	Qantas Airways Limited
QANKOC.AX	Qantas Airways Limited
QANKOF.AX	Qantas Airways Limited
QANKOG.AX	Qantas Airways Limited
QANKOP.AX	Qantas Airways Limited
QANKOS.AX	Qantas Airways Limited
QANKOT.AX	Qantas Airways Limited
QAU.AX	Betashares Gold Bullion Etf (a$ Hedged)
QBE.AX	QBE Insurance Group Ltd
QBEKOA.AX	Qbe Insurance Group Limited
QBEKOB.AX	Qbe Insurance Group Limited
QBEKOF.AX	Qbe Insurance Group Limited
QBEKOH.AX	Qbe Insurance Group Limited
QBEKOI.AX	Qbe Insurance Group Limited
QBEKOP.AX	Qbe Insurance Group Limited
QBEKOQ.AX	Qbe Insurance Group Limited
QBEKOR.AX	Qbe Insurance Group Limited
QBEKOT.AX	Qbe Insurance Group Limited
QBEKOX.AX	Qbe Insurance Group Limited
QBELOC.AX	Qbe Insurance Group Limited
QBELOD.AX	Qbe Insurance Group Limited
QBELOF.AX	Qbe Insurance Group Limited
QBELOJ.AX	Qbe Insurance Group Limited
QBELOP.AX	Qbe Insurance Group Limited
QBELOQ.AX	Qbe Insurance Group Limited
QBELOS.AX	Qbe Insurance Group Limited
QBELOT.AX	Qbe Insurance Group Limited
QBELOU.AX	Qbe Insurance Group Limited
QBELOV.AX	Qbe Insurance Group Limited
QBL.AX	Queensland Bauxite Limited
QCB.AX	Betashares Commodities Basket Etf-currency Hedged(synthetic)
QFN.AX	Betashares S&p/asx 200 Financials Sector Etf (synthetic)
QFX.AX	Quickflix Ltd
QHL.AX	Quickstep Holdings Ltd
QMN.AX	QMN
QMS.AX	Qms Media Limited
QNL.AX	
QOZ.AX	QOZ
QRE.AX	Betashares S&p/asx 200 Resources Sector Etf (synthetic)
QRX.AX	QRX Pharama Ltd
QSS.AX	Questus Ltd
QST.AX	Quest Investments Ltd
QTG.AX	QTG
QTM.AX	Quantum Energy Ltd
QUAL.AX	QUAL
QUB.AX	Qube Logistics
QUBKOA.AX	Qube Holdings Limited
QUBKOB.AX	Qube Holdings Limited
QUE.AX	Queste Communications Ltd
QUR.AX	Quantum Resources Ltd
QUS.AX	QUS
QVE.AX	Qv Equities Limited
QVEO.AX	Qv Equities Limited
RAD.AX	Radar Iron Limited
RAP.AX	Resapp Health Limited
RAW.AX	Rawson Resources Ltd
RBR.AX	Rubicon Resources Ltd
RBSRIG.AX	The Royal Bank Of Scotland Plc
RBX.AX	Resources Base Ltd
RCB.AX	Russell Australian Select Corporate Bond Etf
RCE.AX	Recce Limited
RCF.AX	Redcliffe Resources Limited
RCG.AX	Retail Cube Ltd
RCO.AX	Royalco Resources Ltd
RCP.AX	Redbank Copper Limited
RCR.AX	RCR Tomlinson Ltd
RCT.AX	Reef Casino Trust
RCU.AX	RCU
RDF.AX	Redflex Holdings Ltd
RDG.AX	Resource Development Group Limited
RDH.AX	Redhill Education Limited
RDM.AX	Red Metal Ltd
RDS.AX	Redstone Resources Ltd
RDSO.AX	Redstone Resources Limited
RDSOA.AX	Redstone Resources Limited
RDV.AX	Russell High Dividend Australian Shares Etf
REA.AX	realestate.com.au Ltd
REAKOF.AX	Rea Group Ltd
REAKOQ.AX	Rea Group Ltd
REAKOR.AX	Rea Group Ltd
REC.AX	Recall Holdings Limited
RECKOB.AX	Recall Holdings Limited
RECKOP.AX	Recall Holdings Limited
RECKOQ.AX	Recall Holdings Limited
RECKOR.AX	Recall Holdings Limited
RED.AX	Red 5 Ltd
REF.AX	Reverse Corp Ltd
REG.AX	RG Capital Radio
REGKOA.AX	Regis Healthcare Limited
REGKOB.AX	Regis Healthcare Limited
REH.AX	Reece Australia Ltd
RER.AX	Regal Resources Ltd
RES.AX	Resource Generation Ltd
REV.AX	Revenir Ltd
REX.AX	Regional Express Holdings Ltd
REY.AX	Rey Resources Ltd
REZ.AX	Resources & Energy Group Limited
RFF.AX	Rural Funds Group
RFG.AX	Retail Food Group Ltd
RFGKOA.AX	Retail Food Group Limited
RFGKOC.AX	Retail Food Group Limited
RFL.AX	Rubik Financial Ltd
RFN.AX	Reffind Limited
RFT.AX	Rectifier Technologies Ltd
RFX.AX	Redflow Limited
RGB.AX	Russell Australian Government Bond Etf
RGP.AX	Refresh Group Ltd
RGS.AX	Regeneus Ltd
RGU.AX	Regalpoint Resources Limited
RHC.AX	Ramsay Health Care Ltd
RHCKOA.AX	Ramsay Health Care Limited
RHCKOB.AX	Ramsay Health Care Limited
RHCKOD.AX	Ramsay Health Care Limited
RHCKOQ.AX	Ramsay Health Care Limited
RHCKOR.AX	Ramsay Health Care Limited
RHCPA.AX	Ramsay Health Care Ltd
RHI.AX	Red Hill Iron Ltd
RHL.AX	Ruralco Holdings Ltd
RHP.AX	Rhype Limited
RHS.AX	Reproductive Health Science Limited
RHT.AX	Resonance Health Ltd
RIC.AX	Ridley Corporation Ltd
RIE.AX	Riedel Resources Limited
RIG.AX	Rongtai International Group Holdings Limited
RIM.AX	Rimfire Pacific Mining NL
RIMOA.AX	RIMOA
RIO.AX	Rio Tinto Ltd
RIOKOA.AX	Rio Tinto Limited
RIOKOC.AX	Rio Tinto Limited
RIOKOF.AX	Rio Tinto Limited
RIOKOG.AX	Rio Tinto Limited
RIOKOJ.AX	Rio Tinto Limited
RIOKOK.AX	Rio Tinto Limited
RIOKOL.AX	Rio Tinto Limited
RIOKOM.AX	Rio Tinto Limited
RIOKON.AX	Rio Tinto Limited
RIOKOO.AX	Rio Tinto Limited
RIOKOQ.AX	Rio Tinto Limited
RIOKOS.AX	Rio Tinto Limited
RIOKOT.AX	Rio Tinto Limited
RIOKOU.AX	Rio Tinto Limited
RIOKOV.AX	Rio Tinto Limited
RIOKOX.AX	Rio Tinto Limited
RIOKOY.AX	Rio Tinto Limited
RIOKOZ.AX	Rio Tinto Limited
RIOLOA.AX	Rio Tinto Limited
RIOLOC.AX	Rio Tinto Limited
RIOLOD.AX	Rio Tinto Limited
RIOLOE.AX	Rio Tinto Limited
RIOLOH.AX	Rio Tinto Limited
RIOLOK.AX	Rio Tinto Limited
RIOLOP.AX	Rio Tinto Limited
RIOLOQ.AX	Rio Tinto Limited
RIOLOR.AX	Rio Tinto Limited
RIOLOS.AX	Rio Tinto Limited
RIOLOT.AX	Rio Tinto Limited
RIOLOU.AX	Rio Tinto Limited
RIOLOV.AX	Rio Tinto Limited
RIOMOA.AX	Rio Tinto Limited
RIOMOB.AX	Rio Tinto Limited
RIOQOP.AX	Rio Tinto Limited
RIOQOQ.AX	Rio Tinto Limited
RIOQOU.AX	Rio Tinto Limited
RIS.AX	Richfield International Ltd
RKN.AX	Reckon Ltd
RLC.AX	Revere Mining
RLE.AX	Real Energy Corporation Limited
RMD.AX	ResMed Inc (USA CUFS)
RMDKOB.AX	Resmed Inc
RMDKOE.AX	Resmed Inc
RMDKOP.AX	Resmed Inc
RMDKOT.AX	Resmed Inc
RMG.AX	RMG Ltd
RMI.AX	Resource Mining Corporation Ltd
RMP.AX	Red Emperor Resources NL
RMR.AX	
RMRO.AX	Ram Resources Limited
RMS.AX	Ramelius Resources Ltd
RMT.AX	RMA Energy Ltd
RMX.AX	Red Mountain Mining Limited
RMXO.AX	Red Mountain Mining Limited
RMXOA.AX	Red Mountain Mining Limited
RMXOD.AX	Red Mountain Mining Limited
RMXOE.AX	Red Mountain Mining Limited
RND.AX	Rand Mining NL
RNI.AX	Resource
RNL.AX	Rision Limited
RNO.AX	Rhinomed Limited
RNOOA.AX	Rhinomed Limited
RNS.AX	Renaissance Minerals Limited
RNT.AX	Rent.com.au Limited
RNU.AX	Renaissance Uranium Limited
RNUO.AX	Renascor Resources Limited
RNY.AX	Reckson New York Property Trust
ROG.AX	Red Sky Energy Ltd
RPG.AX	Raptis Group Ltd
RRL.AX	Regis Resources NL
RRLKOA.AX	Regis Resources Limited
RRLKOC.AX	Regis Resources Limited
RRLKOE.AX	Regis Resources Limited
RRP.AX	Realm Resources Limited
RRS.AX	Range Resources Ltd
RSG.AX	Resolute Mining Ltd
RSGG.AX	Resolute Mining Ltd
RSGKOC.AX	Resolute Mining Limited
RSGKOO.AX	Resolute Mining Limited
RSGKOQ.AX	Resolute Mining Limited
RSGKOS.AX	Resolute Mining Limited
RSH.AX	Respiri Limited
RSM.AX	Russell Australian Semi-government Bond Etf
RTG.AX	Rtg Mining Inc.
RTGO.AX	Rtg Mining Inc.
RTR.AX	Rumble Resources Limited
RTROC.AX	Rumble Resources Limited
RUB.AX	Rubicor Group Ltd
RUL.AX	Runge Ltd
RUM.AX	Rum Jungle Uranium Ltd
RVA.AX	Reva Medical Inc
RVL.AX	Russell Australian Value Etf
RVR.AX	Red River Resources Ltd
RVY.AX	Rift Valley Resources Limited.
RWD.AX	Reward Minerals Ltd
RWDO.AX	Reward Minerals Ltd
RWH.AX	Royal Wolf Holdings Limited
RXH.AX	Rewardle Holdings Limited
RXL.AX	Rox Resources Ltd
RXM.AX	Rex Minerals Ltd
RXP.AX	Rxp Services Limited
RYD.AX	Ryder Capital Limited
RYDO.AX	Ryder Capital Limited
RYG.AX	Raya Group Limited
RYGOB.AX	Raya Group Limited
S2R.AX	S2 Resources Ltd
S32.AX	South32 Limited
S32KOC.AX	South32 Limited
S32KOD.AX	South32 Limited
